CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2023-03-31;1;BCO BRASIL S.A.;001023;ITR;126756;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126756
00.000.000/0001-91;2023-06-30;1;BCO BRASIL S.A.;001023;ITR;129901;2023-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129901
00.000.000/0001-91;2023-09-30;1;BCO BRASIL S.A.;001023;ITR;131934;2023-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131934
00.000.208/0001-00;2023-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;127030;2023-05-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127030
00.000.208/0001-00;2023-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;131014;2023-09-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131014
00.000.208/0001-00;2023-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;131993;2023-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131993
00.001.180/0001-26;2023-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;125782;2023-05-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=125782
00.001.180/0001-26;2023-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;129797;2023-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129797
00.001.180/0001-26;2023-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;131880;2023-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131880
00.070.698/0001-11;2023-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;126701;2023-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=126701
