"CD_CVM","CNPJ_CIA","DENOM_SOCIAL"
25275,"16.811.931/0001-00","ALPHAVILLE S.A."
11975,"61.351.532/0001-68","AZEVEDO & TRAVASSOS SA"
27391,"04.065.053/0001-41","BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A."
4723,"61.022.042/0001-18","CONSTRUTORA ADOLPHO LINDENBERG S.A."
27340,"27.743.642/0001-37","CONSTRUTORA METROCASA S.A."
13030,"89.723.993/0001-33","CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL"
21148,"71.476.527/0001-35","CONSTRUTORA TENDA S/A"
4863,"15.101.405/0001-93","CORRÊA RIBEIRO S/A COMÉRCIO E INDÚSTRIA"
25100,"08.797.760/0001-83","CURY CONSTRUTORA E INCORPORADORA S.A."
14460,"73.178.600/0001-18","CYRELA BRAZIL REALTY S.A.EMPREEND E PART"
21091,"97.837.181/0001-47","DEXCO S.A."
21350,"16.614.075/0001-00","DIRECIONAL ENGENHARIA SA"
25909,"19.403.252/0001-90","EMCCAMP RESIDENCIAL S.A."
5762,"61.092.037/0001-81","ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL"
5770,"56.643.018/0001-66","EUCATEX S.A. INDUSTRIA E COMERCIO"
20524,"43.470.988/0001-65","EVEN CONSTRUTORA E INCORPORADORA S/A"
25380,"35.727.157/0001-06","EZ INC INCORPORAÇÕES COMERCIAIS S.A."
20770,"08.312.229/0001-73","EZ TEC EMPREEND. E PARTICIPAÇÕES S/A"
20630,"07.820.907/0001-46","FICA EMPREENDIMENTOS IMOBILIARIOS S.A."
16101,"01.545.826/0001-07","GAFISA SA"
25402,"14.785.152/0001-51","HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A."
20877,"49.263.189/0001-02","HELBOR EMPREENDIMENTOS S/A"
24279,"09.611.768/0001-76","INTER CONSTRUTORA E INCORPORADORA S.A"
25992,"62.258.884/0001-36","INTERCEMENT BRASIL SA"
20605,"08.294.224/0001-65","JHSF PARTICIPAÇÕES SA"
7811,"33.035.536/0001-00","JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL"
25798,"09.146.451/0001-06","KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A."
25062,"26.462.693/0001-28","LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A"
23272,"09.041.168/0001-10","LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES"
20370,"08.078.847/0001-09","LPS BRASIL CONSULTORIA DE IMOVEIS S/A"
25119,"12.181.987/0001-77","MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A."
4782,"17.162.082/0001-73","MENDES JUNIOR ENGENHARIA SA"
24902,"07.882.930/0001-65","MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
21067,"12.049.631/0001-84","MOURA DUBEUX ENGENHARIA S/A"
20915,"08.343.492/0001-20","MRV ENGENHARIA E PARTICIPAÇÕES S/A"
20982,"07.816.890/0001-53","MULTIPLAN - EMPREEND IMOBILIARIOS S.A."
21180,"08.613.550/0001-98","NEXPE PARTICIPAÇÕES S.A."
25143,"96.298.013/0001-68","PACAEMBU CONSTRUTORA S.A."
25305,"23.236.821/0001-27","PATRIMAR ENGENHARIA S.A."
13773,"83.475.913/0001-91","PBG S/A"
20478,"02.950.811/0001-89","PDG REALTY S.A. EMPREEND E PARTICIPACOES"
25070,"24.230.275/0001-80","PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A."
9717,"04.912.242/0001-02","PORTUENSE FERRAGENS S/A"
24236,"18.593.815/0001-97","PRINER SERVIÇOS INDUSTRIAIS S.A."
20451,"67.010.660/0001-24","RNI NEGÓCIOS IMOBILIÁRIOS S.A."
16306,"61.065.751/0001-80","ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL"
10880,"33.386.210/0001-19","SONDOTECNICA ENGENHARIA SOLOS S.A."
23957,"13.584.310/0001-42","SUGOI S.A."
21040,"08.801.621/0001-86","SYN PROP & TECH S.A."
20435,"08.065.557/0001-12","TECNISA S/A"
11207,"33.111.246/0001-90","TECNOSOLO ENGENHARIA SA EMPRESA FALIDA"
25844,"30.213.493/0001-09","TEGRA INCORPORADORA S.A."
26255,"84.684.455/0001-63","TIGRE S.A. PARTICIPAÇÕES"
21130,"08.811.643/0001-27","TRISUL S/A"
22780,"90.441.460/0001-48","UNICASA INDÚSTRIA DE MÓVEIS S.A."
25437,"10.571.175/0001-02","URBA DESENVOLVIMENTO URBANO S.A."
20702,"67.571.414/0001-41","VIVER INCORPORADORA E CONSTRUTORA S.A"
27189,"01.637.895/0001-32","VOTORANTIM CIMENTOS S.A."
23604,"11.284.204/0001-18","YOU INC INCORPORADORA E PARTICIPAÇÃO S.A"
25976,"09.267.996/0001-70","YUNY INCORPORADORA HOLDING S.A."
